category,volume_mn,value_cr,ATS
Bakeries,8245.19,122971.27,149.14303976015108
Beauty And Barber Shops,376.45,10763.91,285.9319962810466
Beauty and barber shops,1894.73,57029.18,300.98842579153757
Business services not elsewhere classified,437.94,42253.62,964.8266885874779
Cable and other pay television services,601.21,24154.89,401.77126128973237
"Candy, Nut And Confectionery Shops",531.09,9776.119999999999,184.07652187011615
"Candy, nut and confectionery shops",2415.18,46405.43,192.14066860441045
Caterers,75.82,2474.44,326.35716169876025
Cigar Shops And Stands,1508.74,9316.91,61.7529196548113
Cigar shops and stands,4903.45,31107.84,63.440720309170075
"Computer programming, data processing and integrated systems design services",7.12,154.11,216.44662921348316
Courier services air and ground and freight forwarders,8.71,558.79,641.5499425947187
Credit Card Bill Payments,58.15,86990.51,14959.67497850387
Dairies,5261.17,128260.18,243.7864201308834
Debit card to wallet credit (Wallet top up),1706.29,120476.47,706.0726488463274
Debt Collection Agencies,740.51,428484.53,5786.343601031722
Debt collection agencies,3962.36,2469527.04,6232.465096558617
Department Stores,332.03,21155.52,637.1568834141494
Department stores,6933.35,204212.95,294.5372006317292
Digital Goods: Games,11040.67,346801.93,314.113119946525
"Drinking Places (Alcoholic Beverages) Bars, Taverns, Night-Clubs, Cocktail Lounges And Discothques",435.86,16961.92,389.15982196118017
"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",3034.29,119917.18000000001,395.20672051781474
Drug Stores And Pharmacies,1366.47,54721.14,400.4562119914817
Drug stores and pharmacies,7694.7300000000005,300840.9,390.9700535301434
Eating Places And Restaurants,5645.22,91896.92,162.78713672806373
Eating places and restaurants,31763.1,532109.6900000001,167.52448281181626
Electronics Repair Shops,375.7,11120.23,295.9869576789992
Electronics Shops,421.14,52760.619999999995,1252.8047680106376
Electronics repair shops,1355.48,41369.89,305.2047245256293
Electronics shops,2128.2200000000003,284447.86,1336.5528939677288
Family Clothing Shops,54.93,4900.77,892.184598580011
Family clothing shops,696.74,61787.43,886.807560926601
Fast Food Restaurants,5893.4400000000005,69133.16,117.30527501764672
Fast food restaurants,29313.59,355756.62,121.36235104605065
Financial institutions merchandise and services,1243.55,412120.68,3314.06602066664
Freezer And Locker Meat Provisioners,490.28,15930.64,324.92942808191236
Freezer and locker meat provisioners,2349.63,77651.25,330.48288453926784
Government Services Not Elsewhere Classified,508.26,48847.3,961.0691378428364
Government services not elsewhere classified,2317.96,241547.89,1042.0710020880429
Groceries And Supermarkets,14535.220000000001,320863.47,220.7489601120588
Groceries and supermarkets,71054.55,1800936.62,253.45831055154105
Hardware shops,62.25,8177.49,1313.6530120481927
Health and beauty spas,150.32999999999998,5502.48,366.0267411694273
Household appliance shops,173.11,17344.91,1001.9588700826064
"Lodging hotels, motels and resorts",179.36,13698.14,763.7232381801962
Mens And Womens Clothing Shops,439.15,54561.85,1242.4422179209837
Mens and womens clothing shops,1408.71,173771.63,1233.5514761732366
"Mens, Womens And Childrens Uniforms And Commercial Clothing",350.12,33827.25,966.1616017365475
"Mens, womens and childrens uniforms and commercial clothing",1924.12,195709.72,1017.138847888905
Miscellaneous and speciality retail outlets,699.81,25197.510000000002,360.0621597290694
Miscellaneous apparel and accessory shops,216.73,28677.579999999998,1323.1938356480414
Miscellaneous food shops convenience and speciality retail outlets,3131.29,89851.65000000001,286.94771164599894
Miscellaneous general merchandise,1650.02,123828.02,750.4637519545219
Miscellaneous personal services not elsewhere classified,3913.77,175362.54,448.0655225013223
"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",302.79,23039.04,760.891707123749
Online Marketplaces,2357.36,169466.48,718.882478704992
Others,21873.96,3143048.79,1436.890617885376
"Package Shops Beer, Wine And Liquor",692.18,28841.22,416.67225288219834
"Package shops beer, wine and liquor",2385.75,102735.86,430.622906842712
Passenger Railways,367.9,19171.55,521.1076379450938
Passenger railways,1419.73,81307.47,572.696709937805
Petroleum and petroleum products,254.7,31385.22,1232.2426383981156
Professional services not elsewhere classified,186.03,9658.720000000001,519.2022792022792
Purchase Of Digital Gold,428.78,5113.5,119.2569616120155
Purchase of digital gold,1572.06,21200.6,134.8587204050736
Securities Brokers And Dealers,233.48,199656.88,8551.348295357204
Securities brokers and dealers,2054.42,1802378.82,8773.175981542236
Service Stations (With Or Without Ancillary Services),2973.4500000000003,176159.62,592.4418436496326
Service stations (with or without ancillary services),15875.53,991762.77,624.7115970301463
"Stationery, office and school supply shops",155.89,4763.33,305.55712361280393
"Stationery, office supplies and printing and writing paper",29.97,2514.1899999999996,838.9022355689021
Taxi-Cabs And Limousines,327.73,5992.389999999999,182.84532999725383
Taxi-cabs and limousines,1227.59,23959.87,195.17811321369516
"Telecommunication Services, Including Local And Long Distance Calls, Credit Card Calls,Callsthrough Use Of Magnetic Stripe Reading Telephones And Faxes",4318.3,102024.41,236.26058865757358
Telecommunication equipment and telephone sales,442.65,19273.63,435.41466169660004
"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",26381.36,604737.18,229.22896317703106
Tolls and bridge fees,173.56,12866.26,741.314819082738
Total,78571.31999999999,4765968.07,606.5785925449644
"Utilities Electric, Gas, Water And Sanitary",854.98,108299.37,1266.6889283959858
"Utilities electric, gas, water and sanitary",4738.35,584012.16,1232.5222070974073
Variety Stores,308.09000000000003,16752.510000000002,543.7537732480769
Variety stores,1410.55,78123.92,553.8543121477438
